date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice
2000-01-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Maize (imported),158,KG,actual,Retail,XOF,149,0.35
2000-01-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Millet,73,KG,actual,Retail,XOF,124.75,0.3
2000-01-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,227.5,0.54
2000-02-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Millet,73,KG,actual,Retail,XOF,125.62,0.3
2000-02-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,226.88,0.54
2000-02-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Sorghum,65,KG,actual,Retail,XOF,125.62,0.3
2000-03-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Maize (imported),158,KG,actual,Retail,XOF,150,0.36
2000-03-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Millet,73,KG,actual,Retail,XOF,127.08,0.3
2000-03-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,227.5,0.54
2000-03-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Sorghum,65,KG,actual,Retail,XOF,127.08,0.3
2000-04-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Millet,73,KG,actual,Retail,XOF,126.25,0.3
2000-04-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,228.33,0.54
2000-04-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Sorghum,65,KG,actual,Retail,XOF,126.67,0.3
2000-05-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Millet,73,KG,actual,Retail,XOF,119.38,0.28
2000-05-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Sorghum,65,KG,actual,Retail,XOF,119.38,0.28
2000-06-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Millet,73,KG,actual,Retail,XOF,122.5,0.29
2000-06-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,227.5,0.54
2000-06-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Sorghum,65,KG,actual,Retail,XOF,122.5,0.29
2000-07-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Maize (imported),158,KG,actual,Retail,XOF,150.94,0.36
2000-07-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Millet,73,KG,actual,Retail,XOF,126.25,0.3
2000-07-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,227.5,0.54
2000-08-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Millet,73,KG,actual,Retail,XOF,144.38,0.34
2000-08-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,227.5,0.54
2000-09-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Maize (imported),158,KG,actual,Retail,XOF,150,0.36
2000-09-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,227.5,0.54
2000-09-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Sorghum,65,KG,actual,Retail,XOF,129.17,0.31
2000-10-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Maize (imported),158,KG,actual,Retail,XOF,154.69,0.37
2000-10-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Sorghum,65,KG,actual,Retail,XOF,125.62,0.3
2000-11-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Maize (imported),158,KG,actual,Retail,XOF,164.25,0.39
2000-11-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Millet,73,KG,actual,Retail,XOF,125.5,0.3
2000-11-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,218.5,0.52
2000-12-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Millet,73,KG,actual,Retail,XOF,127.5,0.3
2001-01-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Millet,73,KG,actual,Retail,XOF,127.08,0.3
2001-01-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,212.5,0.51
2001-02-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Millet,73,KG,actual,Retail,XOF,126.25,0.3
2001-02-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,215,0.51
2001-03-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,213.33,0.51
2001-03-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Sorghum,65,KG,actual,Retail,XOF,134,0.32
2001-04-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Maize (imported),158,KG,actual,Retail,XOF,166.25,0.4
2001-04-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Millet,73,KG,actual,Retail,XOF,127.5,0.3
2001-04-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,220,0.52
2001-05-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Maize (imported),158,KG,actual,Retail,XOF,150.56,0.36
2001-05-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Millet,73,KG,actual,Retail,XOF,134.17,0.32
2001-05-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,202.78,0.48
2001-05-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Sorghum,65,KG,actual,Retail,XOF,149,0.35
2001-06-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Maize (imported),158,KG,actual,Retail,XOF,151.25,0.36
2001-06-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Millet,73,KG,actual,Retail,XOF,145.62,0.35
2001-06-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,200,0.48
2001-06-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Sorghum,65,KG,actual,Retail,XOF,151,0.36
2001-07-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,211,0.5
2001-07-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Sorghum,65,KG,actual,Retail,XOF,169,0.4
2001-08-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Maize (imported),158,KG,actual,Retail,XOF,175,0.42
2001-08-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Millet,73,KG,actual,Retail,XOF,150,0.36
2001-08-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,215,0.51
2001-08-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Sorghum,65,KG,actual,Retail,XOF,175,0.42
2001-09-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Maize (imported),158,KG,actual,Retail,XOF,172.5,0.41
2001-09-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Sorghum,65,KG,actual,Retail,XOF,173,0.41
2001-10-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Millet,73,KG,actual,Retail,XOF,149.38,0.36
2001-10-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Sorghum,65,KG,actual,Retail,XOF,173,0.41
2001-11-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Maize (imported),158,KG,actual,Retail,XOF,164.38,0.39
2001-11-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Millet,73,KG,actual,Retail,XOF,140.31,0.33
2001-11-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,205,0.49
2001-11-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Sorghum,65,KG,actual,Retail,XOF,163,0.39
2001-12-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Maize (imported),158,KG,actual,Retail,XOF,172.5,0.41
2001-12-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Millet,73,KG,actual,Retail,XOF,145.62,0.35
2001-12-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,208.75,0.5
2001-12-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Sorghum,65,KG,actual,Retail,XOF,175,0.42
2002-01-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Maize (imported),158,KG,actual,Retail,XOF,168.33,0.4
2002-01-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Millet,73,KG,actual,Retail,XOF,148.75,0.35
2002-01-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,205.28,0.49
2002-01-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Sorghum,65,KG,actual,Retail,XOF,167.5,0.4
2002-02-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Millet,73,KG,actual,Retail,XOF,149.58,0.36
2002-02-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,203.33,0.48
2002-02-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Sorghum,65,KG,actual,Retail,XOF,163.33,0.39
2002-03-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Maize (imported),158,KG,actual,Retail,XOF,166.67,0.4
2002-03-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Millet,73,KG,actual,Retail,XOF,150,0.36
2002-03-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,203.33,0.48
2002-04-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,202.5,0.48
2002-05-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Maize (imported),158,KG,actual,Retail,XOF,161.33,0.38
2002-05-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Millet,73,KG,actual,Retail,XOF,230.33,0.55
2002-05-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,203,0.48
2002-05-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Sorghum,65,KG,actual,Retail,XOF,230,0.55
2002-06-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Maize (imported),158,KG,actual,Retail,XOF,166.59,0.4
2002-06-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Millet,73,KG,actual,Retail,XOF,234.32,0.56
2002-06-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,201.82,0.48
2002-06-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Sorghum,65,KG,actual,Retail,XOF,232.27,0.55
2002-07-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Maize (imported),158,KG,actual,Retail,XOF,160.36,0.38
2002-07-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,202.86,0.48
2002-08-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Maize (imported),158,KG,actual,Retail,XOF,153.12,0.36
2002-08-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Millet,73,KG,actual,Retail,XOF,251.88,0.6
2002-08-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,203.12,0.48
2002-09-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Maize (imported),158,KG,actual,Retail,XOF,155,0.37
2002-09-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Millet,73,KG,actual,Retail,XOF,253.81,0.6
2002-09-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,203.81,0.48
2002-10-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,203.75,0.48
2002-11-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Maize (imported),158,KG,actual,Retail,XOF,156.25,0.37
2002-11-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,205,0.49
2003-01-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,202.5,0.48
2003-01-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Sorghum,65,KG,actual,Retail,XOF,202.5,0.48
2003-02-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Millet,73,KG,actual,Retail,XOF,196.88,0.47
2003-02-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,202.5,0.48
2003-02-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Sorghum,65,KG,actual,Retail,XOF,197.81,0.47
2003-03-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Maize (imported),158,KG,actual,Retail,XOF,150,0.36
2003-03-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Millet,73,KG,actual,Retail,XOF,175.94,0.42
2003-03-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,202.5,0.48
2003-04-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Maize (imported),158,KG,actual,Retail,XOF,150,0.36
2003-04-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Millet,73,KG,actual,Retail,XOF,163.75,0.39
2003-04-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,202.5,0.48
2003-04-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Sorghum,65,KG,actual,Retail,XOF,177.5,0.42
2003-05-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Maize (imported),158,KG,actual,Retail,XOF,150,0.36
2003-05-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Millet,73,KG,actual,Retail,XOF,171.67,0.41
2003-05-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,195.83,0.47
2003-05-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Sorghum,65,KG,actual,Retail,XOF,177.5,0.42
2003-06-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Maize (imported),158,KG,actual,Retail,XOF,150,0.36
2003-06-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Millet,73,KG,actual,Retail,XOF,178.12,0.42
2003-06-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,192.5,0.46
2003-06-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Sorghum,65,KG,actual,Retail,XOF,177.5,0.42
2003-07-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Maize (imported),158,KG,actual,Retail,XOF,150,0.36
2003-07-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Millet,73,KG,actual,Retail,XOF,173,0.41
2003-07-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Sorghum,65,KG,actual,Retail,XOF,187.5,0.45
2003-08-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Maize (imported),158,KG,actual,Retail,XOF,150,0.36
2003-08-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,191,0.45
2003-08-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Sorghum,65,KG,actual,Retail,XOF,201.88,0.48
2003-09-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Maize (imported),158,KG,actual,Retail,XOF,150,0.36
2003-09-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Sorghum,65,KG,actual,Retail,XOF,201.25,0.48
2003-10-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,195,0.46
2003-11-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Maize (imported),158,KG,actual,Retail,XOF,147.5,0.35
2003-11-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Sorghum,65,KG,actual,Retail,XOF,191.88,0.46
2003-12-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Maize (imported),158,KG,actual,Retail,XOF,129.25,0.31
2003-12-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Millet,73,KG,actual,Retail,XOF,125.5,0.3
2003-12-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,195,0.46
2004-01-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Millet,73,KG,actual,Retail,XOF,122.5,0.29
2004-01-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,195,0.46
2004-02-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Maize (imported),158,KG,actual,Retail,XOF,125.88,0.3
2004-02-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,190,0.45
2004-02-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Sorghum,65,KG,actual,Retail,XOF,119.71,0.28
2004-03-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Maize (imported),158,KG,actual,Retail,XOF,122.59,0.29
2004-03-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Millet,73,KG,actual,Retail,XOF,108.15,0.26
2004-03-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,192.22,0.46
2004-03-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Sorghum,65,KG,actual,Retail,XOF,110.56,0.26
2004-04-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Maize (imported),158,KG,actual,Retail,XOF,122.5,0.29
2004-04-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,192.5,0.46
2004-04-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Sorghum,65,KG,actual,Retail,XOF,110,0.26
2004-05-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Sorghum,65,KG,actual,Retail,XOF,113.75,0.27
2004-06-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Millet,73,KG,actual,Retail,XOF,138.5,0.33
2004-06-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,225,0.54
2004-06-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Sorghum,65,KG,actual,Retail,XOF,138,0.33
2004-07-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Maize (imported),158,KG,actual,Retail,XOF,140,0.33
2004-07-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Millet,73,KG,actual,Retail,XOF,150.62,0.36
2004-07-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,235,0.56
2004-08-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Sorghum,65,KG,actual,Retail,XOF,156.67,0.37
2004-09-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Maize (imported),158,KG,actual,Retail,XOF,140,0.33
2004-09-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Sorghum,65,KG,actual,Retail,XOF,160,0.38
2004-10-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Maize (imported),158,KG,actual,Retail,XOF,140,0.33
2004-10-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Millet,73,KG,actual,Retail,XOF,152.5,0.36
2004-10-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,235,0.56
2004-10-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Sorghum,65,KG,actual,Retail,XOF,157.5,0.37
2004-11-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Sorghum,65,KG,actual,Retail,XOF,160,0.38
2004-12-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Maize (imported),158,KG,actual,Retail,XOF,155,0.37
2004-12-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Millet,73,KG,actual,Retail,XOF,165,0.39
2004-12-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,235,0.56
2004-12-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Sorghum,65,KG,actual,Retail,XOF,166.67,0.4
2005-01-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,235,0.56
2005-02-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Millet,73,KG,actual,Retail,XOF,190,0.45
2005-02-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,235,0.56
2005-03-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,228.08,0.54
2005-03-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Sorghum,65,KG,actual,Retail,XOF,188.46,0.45
2005-04-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Maize (imported),158,KG,actual,Retail,XOF,160,0.38
2005-04-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Millet,73,KG,actual,Retail,XOF,200,0.48
2005-04-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,225,0.54
2005-04-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Sorghum,65,KG,actual,Retail,XOF,200,0.48
2005-05-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,225,0.54
2005-05-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Sorghum,65,KG,actual,Retail,XOF,200,0.48
2005-06-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Maize (imported),158,KG,actual,Retail,XOF,157,0.37
2005-06-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Millet,73,KG,actual,Retail,XOF,216,0.51
2005-07-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,225,0.54
2005-07-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Sorghum,65,KG,actual,Retail,XOF,225,0.54
2005-08-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Maize (imported),158,KG,actual,Retail,XOF,150,0.36
2005-08-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Sorghum,65,KG,actual,Retail,XOF,240,0.57
2005-09-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Maize (imported),158,KG,actual,Retail,XOF,150,0.36
2005-09-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Millet,73,KG,actual,Retail,XOF,231,0.55
2005-09-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,225,0.54
2005-10-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,225,0.54
2005-10-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Sorghum,65,KG,actual,Retail,XOF,224.17,0.53
2005-11-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Millet,73,KG,actual,Retail,XOF,163,0.39
2005-11-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,225,0.54
2005-11-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Sorghum,65,KG,actual,Retail,XOF,187.5,0.45
2005-12-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Maize (imported),158,KG,actual,Retail,XOF,150,0.36
2005-12-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Millet,73,KG,actual,Retail,XOF,153,0.36
2005-12-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,225,0.54
2005-12-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Sorghum,65,KG,actual,Retail,XOF,161.25,0.38
2006-01-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,225,0.54
2006-01-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Sorghum,65,KG,actual,Retail,XOF,160,0.38
2006-02-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Millet,73,KG,actual,Retail,XOF,171,0.41
2006-02-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Rice (imported),64,KG,actual,Retail,XOF,225,0.54
2006-02-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Sorghum,65,KG,actual,Retail,XOF,160,0.38
2006-03-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Maize (imported),158,KG,actual,Retail,XOF,150,0.36
2006-03-15,Dakar,Dakar,Tilene,447,14.68,-17.46,cereals and tubers,Millet,73,KG,actual,Retail,XOF,184,0.44
